Id,PropertyId,SubCategoryName,Value
473,12,Все квартиры,1987
474,1,Все квартиры,64.5 м²
475,3,Все квартиры,54 м²
476,4,Все квартиры,17 из 22
477,3,Все квартиры,42 м²
478,1,Все квартиры,22 м²
479,0,Все квартиры,свободная планировка
480,1,Все квартиры,66 м²
481,4,Все квартиры,2 из 15
482,13,Все квартиры,15
483,1,Все квартиры,50.3 м²
484,4,Все квартиры,8 из 25
485,12,Все квартиры,1972
486,1,Все квартиры,33.2 м²
487,1,Все квартиры,57.9 м²
488,25,Все квартиры,ЖК «Уютный квартал»
489,2,Все квартиры,11.5 м²
490,1,Все квартиры,27 м²
491,1,Все квартиры,49.4 м²
492,1,Все квартиры,29.3 м²
493,1,Все квартиры,32.2 м²
494,12,Все квартиры,1993
495,1,Все квартиры,29.5 м²
496,1,Все квартиры,30.2 м²
497,2,Все квартиры,8.5 м²
498,1,Все квартиры,33.9 м²
499,3,Все квартиры,13 м²
500,1,Все квартиры,37.7 м²
501,1,Все квартиры,32.5 м²
502,1,Все квартиры,23 м²
503,1,Все квартиры,56.3 м²
504,3,Все квартиры,41 м²
505,1,Все квартиры,38.3 м²
506,4,Все квартиры,5 из 6
507,12,Все квартиры,1976
508,2,Все квартиры,21 м²
509,1,Все квартиры,38.5 м²
510,4,Все квартиры,3 из 4
511,1,Все квартиры,30.3 м²
512,1,Все квартиры,36.5 м²
513,3,Все квартиры,18.7 м²
514,12,Все квартиры,1994
515,4,Все квартиры,6 из 15
516,1,Все квартиры,25.5 м²
517,4,Все квартиры,1 из 3
518,6,Все квартиры,3.5 м
519,2,Все квартиры,6.7 м²
520,1,Все квартиры,48.9 м²
521,2,Все квартиры,6.9 м²
522,3,Все квартиры,22 м²
523,1,Все квартиры,30.1 м²
524,1,Все квартиры,24 м²
525,1,Все квартиры,33.7 м²
526,2,Все квартиры,7.5 м²
527,1,Все квартиры,25 м²
528,4,Все квартиры,15 из 16
529,13,Все квартиры,16
530,1,Все квартиры,60.8 м²
531,1,Все квартиры,29.8 м²
532,12,Все квартиры,1977
533,1,Все квартиры,41.7 м²
534,2,Все квартиры,11.3 м²
535,1,Все квартиры,37.6 м²
536,1,Все квартиры,49.5 м²
537,2,Все квартиры,10.8 м²
538,3,Все квартиры,32.6 м²
539,1,Все квартиры,57 м²
540,2,Все квартиры,13.5 м²
541,4,Все квартиры,2 из 18
542,1,Все квартиры,49 м²
543,12,Все квартиры,1991
544,1,Все квартиры,38.2 м²
545,1,Все квартиры,34.7 м²
546,12,Все квартиры,1961
547,2,Все квартиры,12.5 м²
548,1,Все квартиры,60.3 м²
549,1,Все квартиры,40.1 м²
550,3,Все квартиры,19.2 м²
551,1,Все квартиры,75 м²
552,4,Все квартиры,5 из 8
553,13,Все квартиры,8
554,1,Все квартиры,63 м²
555,3,Все квартиры,43 м²
556,1,Все квартиры,65.7 м²
557,2,Все квартиры,8.8 м²
558,3,Все квартиры,40.1 м²
559,1,Все квартиры,56.6 м²
560,3,Все квартиры,42.8 м²
561,1,Все квартиры,28 м²
562,4,Все квартиры,6 из 8
563,1,Все квартиры,32.9 м²
564,3,Все квартиры,18.3 м²
565,1,Все квартиры,42.7 м²
566,2,Все квартиры,9.5 м²
567,1,Все квартиры,103 м²
568,4,Все квартиры,2 из 16
569,4,Все квартиры,11 из 22
570,30,Все квартиры,да
571,15,Все квартиры,2
572,1,Все квартиры,37.2 м²
573,1,Все квартиры,52.5 м²
574,1,Все квартиры,37.1 м²
575,2,Все квартиры,7.9 м²
576,3,Все квартиры,32.9 м²
577,1,Все квартиры,43.4 м²
578,1,Все квартиры,74.6 м²
579,1,Все квартиры,110 м²
580,3,Все квартиры,80 м²
581,1,Все квартиры,123.2 м²
582,2,Все квартиры,40 м²
583,1,Все квартиры,61 м²
584,2,Все квартиры,7.3 м²
